INFO 2024-06-07 21:03:53,197 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-07 21:03:53,198 autoreload Waiting for apps ready_event.
DEBUG 2024-06-07 21:03:53,457 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-07 21:03:53,473 autoreload Watching dir /bce/lectures/2024-web-application-programming/eunjin0680/refrigerator1/backend/locale with glob **/*.mo.
DEBUG 2024-06-07 21:03:53,473 autoreload Watching dir /bce/lectures/2024-web-application-programming/eunjin0680/refrigerator1/backend/foods/locale with glob **/*.mo.
DEBUG 2024-06-07 21:03:53,473 autoreload Watching dir /home/eunjin0680/mambaforge/envs/django/lib/python3.12/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2024-06-07 21:03:53,521 utils (0.002) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-06-07 21:03:53,524 utils (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-06-07 21:03:53,556 autoreload File /home/eunjin0680/mambaforge/envs/django/lib/python3.12/site-packages/django/utils/regex_helper.py first seen with mtime 1709560671.4691782
DEBUG 2024-06-07 21:03:53,556 autoreload File /home/eunjin0680/mambaforge/envs/django/lib/python3.12/asyncio/__init__.py first seen with mtime 1708118050.3441985
DEBUG 2024-06-07 21:03:53,556 autoreload File /home/eunjin0680/mambaforge/envs/django/lib/python3.12/site-packages/pydantic_core/_pydantic_core.cpython-312-x86_64-linux-gnu.so first seen with mtime 1712849058.2101524
DEBUG 2024-06-07 21:03:53,556 autoreload File /home/eunjin0680/mambaforge/envs/django/lib/python3.12/site-packages/sqlparse/filters/others.py first seen with mtime 1681817740.592449
DEBUG 2024-06-07 21:03:53,556 autoreload File /home/eunjin0680/mambaforge/envs/django/lib/python3.12/lib-dynload/zlib.cpython-312-x86_64-linux-gnu.so first seen with mtime 1708118073.2678885
DEBUG 2024-06-07 21:03:53,556 autoreload File /home/eunjin0680/mambaforge/envs/django/lib/python3.12/site-packages/pydantic/_internal/_known_annotated_metadata.py first seen with mtime 1712899330.5825646
DEBUG 2024-06-07 21:03:53,556 autoreload File /home/eunjin0680/mambaforge/envs/django/lib/python3.12/site-packages/pydantic/_internal/__init__.py first seen with mtime 1712899330.5785646
DEBUG 2024-06-07 21:03:53,556 autoreload File /home/eunjin0680/mambaforge/envs/django/lib/python3.12/site-packages/pydantic/plugin/_schema_validator.py first seen with mtime 1712899330.5865645
DEBUG 2024-06-07 21:03:53,556 autoreload File /home/eunjin0680/mambaforge/envs/django/lib/python3.12/site-packages/django/core/checks/__init__.py first seen with mtime 1709560671.373176
DEBUG 2024-06-07 21:03:53,556 autoreload File /home/eunjin0680/mambaforge/envs/django/lib/python3.12/site-packages/django/views/csrf.py first seen with mtime 1709560671.4731784
